id,Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,AVG ANS DELAY SECONDS,MAX ANS DELAY,ABANDONED,DelayCallsProduct
2017-09-26-ccc_media_line_script,2017/09/26,ccc_media_line_script,1,1,00:00:10,10,00:00:10,0,10
2017-09-26-ccc_priority_script,2017/09/26,ccc_priority_script,14,14,00:00:07,7,00:00:49,0,98
2017-09-26-ccc_tax_script,2017/09/26,ccc_tax_script,31,31,00:00:31,31,00:03:34,0,961
2017-09-27-ccc_311_calgary_script,2017/09/27,ccc_311_calgary_script,3276,3037,00:00:54,54,00:11:47,238,163998
2017-09-27-ccc_311_lobby_ph_script,2017/09/27,ccc_311_lobby_ph_script,3,3,00:00:05,5,00:00:06,0,15
2017-09-27-ccc_aserv_info_script,2017/09/27,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-27-ccc_bylaw_script,2017/09/27,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-27-ccc_city_script,2017/09/27,ccc_city_script,22,22,00:00:11,11,00:00:28,0,242
2017-09-27-ccc_cty_online_script,2017/09/27,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-27-ccc_feedback_script,2017/09/27,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-27-ccc_fpb_script,2017/09/27,ccc_fpb_script,3,3,00:00:05,5,00:00:06,0,15
2017-09-27-ccc_help_script,2017/09/27,ccc_help_script,19,16,00:00:26,26,00:01:53,3,416
2017-09-27-ccc_link_script,2017/09/27,ccc_link_script,1,0,00:00:00,0,00:00:00,0,0
2017-09-27-ccc_media_line_script,2017/09/27,ccc_media_line_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-27-ccc_priority_script,2017/09/27,ccc_priority_script,18,18,00:00:08,8,00:00:53,0,144
2017-09-27-ccc_tax_script,2017/09/27,ccc_tax_script,23,21,00:00:43,43,00:02:41,2,903
2017-09-27-ccc_waste_recycling_script,2017/09/27,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_311_calgary_script,2017/09/28,ccc_311_calgary_script,3472,3118,00:01:12,72,00:16:19,355,224496
